,code,description,icd10cm_code
80,A07.9,"Protozoal intestinal disease, unspecified",A079
81,A08,Viral and other specified intestinal infections,A08
82,A08.0,Rotaviral enteritis,A080
83,A08.1,Acute gastroenteropathy due to Norwalk agent and other small round viruses,A081
84,A08.11,Acute gastroenteropathy due to Norwalk agent,A0811
85,A08.19,Acute gastroenteropathy due to other small round viruses,A0819
86,A08.2,Adenoviral enteritis,A082
87,A08.3,Other viral enteritis,A083
88,A08.31,Calicivirus enteritis,A0831
89,A08.32,Astrovirus enteritis,A0832
90,A08.39,Other viral enteritis,A0839
91,A08.4,"Viral intestinal infection, unspecified",A084
92,A08.8,Other specified intestinal infections,A088
93,A09,"Infectious gastroenteritis and colitis, unspecified",A09
94,A15,Respiratory tuberculosis,A15
95,A15.0,Tuberculosis of lung,A150
96,A15.4,Tuberculosis of intrathoracic lymph nodes,A154
97,A15.5,"Tuberculosis of larynx, trachea and bronchus",A155
98,A15.6,Tuberculous pleurisy,A156
99,A15.7,Primary respiratory tuberculosis,A157
100,A15.8,Other respiratory tuberculosis,A158
101,A15.9,Respiratory tuberculosis unspecified,A159
102,A17,Tuberculosis of nervous system,A17
103,A17.0,Tuberculous meningitis,A170
104,A17.1,Meningeal tuberculoma,A171
105,A17.8,Other tuberculosis of nervous system,A178
106,A17.81,Tuberculoma of brain and spinal cord,A1781
107,A17.82,Tuberculous meningoencephalitis,A1782
108,A17.83,Tuberculous neuritis,A1783
109,A17.89,Other tuberculosis of nervous system,A1789
110,A17.9,"Tuberculosis of nervous system, unspecified",A179
111,A18,Tuberculosis of other organs,A18
112,A18.0,Tuberculosis of bones and joints,A180
113,A18.01,Tuberculosis of spine,A1801
114,A18.02,Tuberculous arthritis of other joints,A1802
115,A18.03,Tuberculosis of other bones,A1803
116,A18.09,Other musculoskeletal tuberculosis,A1809
117,A18.1,Tuberculosis of genitourinary system,A181
118,A18.10,"Tuberculosis of genitourinary system, unspecified",A1810
119,A18.11,Tuberculosis of kidney and ureter,A1811
120,A18.12,Tuberculosis of bladder,A1812
121,A18.13,Tuberculosis of other urinary organs,A1813
122,A18.14,Tuberculosis of prostate,A1814
123,A18.15,Tuberculosis of other male genital organs,A1815
124,A18.16,Tuberculosis of cervix,A1816
125,A18.17,Tuberculous female pelvic inflammatory disease,A1817
126,A18.18,Tuberculosis of other female genital organs,A1818
127,A18.2,Tuberculous peripheral lymphadenopathy,A182
128,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",A183
129,A18.31,Tuberculous peritonitis,A1831
130,A18.32,Tuberculous enteritis,A1832
131,A18.39,Retroperitoneal tuberculosis,A1839
132,A18.4,Tuberculosis of skin and subcutaneous tissue,A184
133,A18.5,Tuberculosis of eye,A185
134,A18.50,"Tuberculosis of eye, unspecified",A1850
135,A18.51,Tuberculous episcleritis,A1851
136,A18.52,Tuberculous keratitis,A1852
137,A18.53,Tuberculous chorioretinitis,A1853
138,A18.54,Tuberculous iridocyclitis,A1854
139,A18.59,Other tuberculosis of eye,A1859
140,A18.6,Tuberculosis of (inner) (middle) ear,A186
141,A18.7,Tuberculosis of adrenal glands,A187
142,A18.8,Tuberculosis of other specified organs,A188
143,A18.81,Tuberculosis of thyroid gland,A1881
144,A18.82,Tuberculosis of other endocrine glands,A1882
145,A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified",A1883
146,A18.84,Tuberculosis of heart,A1884
147,A18.85,Tuberculosis of spleen,A1885
148,A18.89,Tuberculosis of other sites,A1889
149,A19,Miliary tuberculosis,A19
150,A19.0,Acute miliary tuberculosis of a single specified site,A190
151,A19.1,Acute miliary tuberculosis of multiple sites,A191
152,A19.2,"Acute miliary tuberculosis, unspecified",A192
153,A19.8,Other miliary tuberculosis,A198
154,A19.9,"Miliary tuberculosis, unspecified",A199
155,A20,Plague,A20
156,A20.0,Bubonic plague,A200
157,A20.1,Cellulocutaneous plague,A201
158,A20.2,Pneumonic plague,A202
159,A20.3,Plague meningitis,A203
160,A20.7,Septicemic plague,A207
161,A20.8,Other forms of plague,A208
162,A20.9,"Plague, unspecified",A209
163,A21,Tularemia,A21
164,A21.0,Ulceroglandular tularemia,A210
165,A21.1,Oculoglandular tularemia,A211
166,A21.2,Pulmonary tularemia,A212
167,A21.3,Gastrointestinal tularemia,A213
168,A21.7,Generalized tularemia,A217
169,A21.8,Other forms of tularemia,A218
170,A21.9,"Tularemia, unspecified",A219
171,A22,Anthrax,A22
172,A22.0,Cutaneous anthrax,A220
173,A22.1,Pulmonary anthrax,A221
174,A22.2,Gastrointestinal anthrax,A222
175,A22.7,Anthrax sepsis,A227
176,A22.8,Other forms of anthrax,A228
177,A22.9,"Anthrax, unspecified",A229
178,A23,Brucellosis,A23
179,A23.0,Brucellosis due to Brucella melitensis,A230
180,A23.1,Brucellosis due to Brucella abortus,A231
181,A23.2,Brucellosis due to Brucella suis,A232
182,A23.3,Brucellosis due to Brucella canis,A233
183,A23.8,Other brucellosis,A238
184,A23.9,"Brucellosis, unspecified",A239
185,A24,Glanders and melioidosis,A24
186,A24.0,Glanders,A240
187,A24.1,Acute and fulminating melioidosis,A241
188,A24.2,Subacute and chronic melioidosis,A242
189,A24.3,Other melioidosis,A243
190,A24.9,"Melioidosis, unspecified",A249
191,A25,Rat-bite fevers,A25
192,A25.0,Spirillosis,A250
193,A25.1,Streptobacillosis,A251
194,A25.9,"Rat-bite fever, unspecified",A259
195,A26,Erysipeloid,A26
196,A26.0,Cutaneous erysipeloid,A260
197,A26.7,Erysipelothrix sepsis,A267
198,A26.8,Other forms of erysipeloid,A268
199,A26.9,"Erysipeloid, unspecified",A269
200,A27,Leptospirosis,A27
201,A27.0,Leptospirosis icterohemorrhagica,A270
202,A27.8,Other forms of leptospirosis,A278
203,A27.81,Aseptic meningitis in leptospirosis,A2781
204,A27.89,Other forms of leptospirosis,A2789
205,A27.9,"Leptospirosis, unspecified",A279
206,A28,"Other zoonotic bacterial diseases, not elsewhere classified",A28
207,A28.0,Pasteurellosis,A280
208,A28.1,Cat-scratch disease,A281
209,A28.2,Extraintestinal yersiniosis,A282
210,A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",A288
211,A28.9,"Zoonotic bacterial disease, unspecified",A289
212,A30,Leprosy [Hansen's disease],A30
213,A30.0,Indeterminate leprosy,A300
214,A30.1,Tuberculoid leprosy,A301
215,A30.2,Borderline tuberculoid leprosy,A302
216,A30.3,Borderline leprosy,A303
217,A30.4,Borderline lepromatous leprosy,A304
218,A30.5,Lepromatous leprosy,A305
219,A30.8,Other forms of leprosy,A308
220,A30.9,"Leprosy, unspecified",A309
221,A31,Infection due to other mycobacteria,A31
222,A31.0,Pulmonary mycobacterial infection,A310
223,A31.1,Cutaneous mycobacterial infection,A311
224,A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC),A312
225,A31.8,Other mycobacterial infections,A318
226,A31.9,"Mycobacterial infection, unspecified",A319
227,A32,Listeriosis,A32
228,A32.0,Cutaneous listeriosis,A320
229,A32.1,Listerial meningitis and meningoencephalitis,A321
230,A32.11,Listerial meningitis,A3211
231,A32.12,Listerial meningoencephalitis,A3212
232,A32.7,Listerial sepsis,A327
233,A32.8,Other forms of listeriosis,A328
234,A32.81,Oculoglandular listeriosis,A3281
235,A32.82,Listerial endocarditis,A3282
236,A32.89,Other forms of listeriosis,A3289
237,A32.9,"Listeriosis, unspecified",A329
238,A33,Tetanus neonatorum,A33
239,A34,Obstetrical tetanus,A34
240,A35,Other tetanus,A35
241,A36,Diphtheria,A36
242,A36.0,Pharyngeal diphtheria,A360
243,A36.1,Nasopharyngeal diphtheria,A361
244,A36.2,Laryngeal diphtheria,A362
245,A36.3,Cutaneous diphtheria,A363
246,A36.8,Other diphtheria,A368
247,A36.81,Diphtheritic cardiomyopathy,A3681
248,A36.82,Diphtheritic radiculomyelitis,A3682
249,A36.83,Diphtheritic polyneuritis,A3683
250,A36.84,Diphtheritic tubulo-interstitial nephropathy,A3684
251,A36.85,Diphtheritic cystitis,A3685
252,A36.86,Diphtheritic conjunctivitis,A3686
253,A36.89,Other diphtheritic complications,A3689
254,A36.9,"Diphtheria, unspecified",A369
255,A37,Whooping cough,A37
256,A37.0,Whooping cough due to Bordetella pertussis,A370
257,A37.00,Whooping cough due to Bordetella pertussis without pneumonia,A3700
258,A37.01,Whooping cough due to Bordetella pertussis with pneumonia,A3701
259,A37.1,Whooping cough due to Bordetella parapertussis,A371
260,A37.10,Whooping cough due to Bordetella parapertussis without pneumonia,A3710
261,A37.11,Whooping cough due to Bordetella parapertussis with pneumonia,A3711
262,A37.8,Whooping cough due to other Bordetella species,A378
263,A37.80,Whooping cough due to other Bordetella species without pneumonia,A3780
264,A37.81,Whooping cough due to other Bordetella species with pneumonia,A3781
265,A37.9,"Whooping cough, unspecified species",A379
266,A37.90,"Whooping cough, unspecified species without pneumonia",A3790
267,A37.91,"Whooping cough, unspecified species with pneumonia",A3791
268,A38,Scarlet fever,A38
269,A38.0,Scarlet fever with otitis media,A380
270,A38.1,Scarlet fever with myocarditis,A381
271,A38.8,Scarlet fever with other complications,A388
272,A38.9,"Scarlet fever, uncomplicated",A389
273,A39,Meningococcal infection,A39
274,A39.0,Meningococcal meningitis,A390
275,A39.1,Waterhouse-Friderichsen syndrome,A391
276,A39.2,Acute meningococcemia,A392
277,A39.3,Chronic meningococcemia,A393
278,A39.4,"Meningococcemia, unspecified",A394
279,A39.5,Meningococcal heart disease,A395
280,A39.50,"Meningococcal carditis, unspecified",A3950
281,A39.51,Meningococcal endocarditis,A3951
282,A39.52,Meningococcal myocarditis,A3952
283,A39.53,Meningococcal pericarditis,A3953
284,A39.8,Other meningococcal infections,A398
285,A39.81,Meningococcal encephalitis,A3981
286,A39.82,Meningococcal retrobulbar neuritis,A3982
287,A39.83,Meningococcal arthritis,A3983
288,A39.84,Postmeningococcal arthritis,A3984
289,A39.89,Other meningococcal infections,A3989
290,A39.9,"Meningococcal infection, unspecified",A399
291,A40,Streptococcal sepsis,A40
292,A40.0,"Sepsis due to streptococcus, group A",A400
293,A40.1,"Sepsis due to streptococcus, group B",A401
294,A40.3,Sepsis due to Streptococcus pneumoniae,A403
295,A40.8,Other streptococcal sepsis,A408
296,A40.9,"Streptococcal sepsis, unspecified",A409
297,A41,Other sepsis,A41
298,A41.0,Sepsis due to Staphylococcus aureus,A410
299,A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus,A4101
300,A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus,A4102
301,A41.1,Sepsis due to other specified staphylococcus,A411
302,A41.2,Sepsis due to unspecified staphylococcus,A412
303,A41.3,Sepsis due to Hemophilus influenzae,A413
304,A41.4,Sepsis due to anaerobes,A414
305,A41.5,Sepsis due to other Gram-negative organisms,A415
306,A41.50,"Gram-negative sepsis, unspecified",A4150
307,A41.51,Sepsis due to Escherichia coli [E. coli],A4151
308,A41.52,Sepsis due to Pseudomonas,A4152
309,A41.53,Sepsis due to Serratia,A4153
310,A41.54,Sepsis due to Acinetobacter baumannii,A4154
311,A41.59,Other Gram-negative sepsis,A4159
312,A41.8,Other specified sepsis,A418
313,A41.81,Sepsis due to Enterococcus,A4181
314,A41.89,Other specified sepsis,A4189
315,A41.9,"Sepsis, unspecified organism",A419
316,A42,Actinomycosis,A42
317,A42.0,Pulmonary actinomycosis,A420
318,A42.1,Abdominal actinomycosis,A421
319,A42.2,Cervicofacial actinomycosis,A422
320,A42.7,Actinomycotic sepsis,A427
321,A42.8,Other forms of actinomycosis,A428
322,A42.81,Actinomycotic meningitis,A4281
323,A42.82,Actinomycotic encephalitis,A4282
324,A42.89,Other forms of actinomycosis,A4289
325,A42.9,"Actinomycosis, unspecified",A429
326,A43,Nocardiosis,A43
327,A43.0,Pulmonary nocardiosis,A430
328,A43.1,Cutaneous nocardiosis,A431
329,A43.8,Other forms of nocardiosis,A438
330,A43.9,"Nocardiosis, unspecified",A439
331,A44,Bartonellosis,A44
332,A44.0,Systemic bartonellosis,A440
333,A44.1,Cutaneous and mucocutaneous bartonellosis,A441
334,A44.8,Other forms of bartonellosis,A448
335,A44.9,"Bartonellosis, unspecified",A449
336,A46,Erysipelas,A46
337,A48,"Other bacterial diseases, not elsewhere classified",A48
338,A48.0,Gas gangrene,A480
339,A48.1,Legionnaires' disease,A481
340,A48.2,Nonpneumonic Legionnaires' disease [Pontiac fever],A482
341,A48.3,Toxic shock syndrome,A483
342,A48.4,Brazilian purpuric fever,A484
343,A48.5,Other specified botulism,A485
344,A48.51,Infant botulism,A4851
345,A48.52,Wound botulism,A4852
346,A48.8,Other specified bacterial diseases,A488
347,A49,Bacterial infection of unspecified site,A49
348,A49.0,"Staphylococcal infection, unspecified site",A490
349,A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",A4901
350,A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site",A4902
351,A49.1,"Streptococcal infection, unspecified site",A491
352,A49.2,"Hemophilus influenzae infection, unspecified site",A492
353,A49.3,"Mycoplasma infection, unspecified site",A493
354,A49.8,Other bacterial infections of unspecified site,A498
355,A49.9,"Bacterial infection, unspecified",A499
356,A50,Congenital syphilis,A50
357,A50.0,"Early congenital syphilis, symptomatic",A500
358,A50.01,Early congenital syphilitic oculopathy,A5001
359,A50.02,Early congenital syphilitic osteochondropathy,A5002
360,A50.03,Early congenital syphilitic pharyngitis,A5003
361,A50.04,Early congenital syphilitic pneumonia,A5004
362,A50.05,Early congenital syphilitic rhinitis,A5005
363,A50.06,Early cutaneous congenital syphilis,A5006
364,A50.07,Early mucocutaneous congenital syphilis,A5007
365,A50.08,Early visceral congenital syphilis,A5008
366,A50.09,"Other early congenital syphilis, symptomatic",A5009
367,A50.1,"Early congenital syphilis, latent",A501
368,A50.2,"Early congenital syphilis, unspecified",A502
369,A50.3,Late congenital syphilitic oculopathy,A503
370,A50.30,"Late congenital syphilitic oculopathy, unspecified",A5030
371,A50.31,Late congenital syphilitic interstitial keratitis,A5031
372,A50.32,Late congenital syphilitic chorioretinitis,A5032
373,A50.39,Other late congenital syphilitic oculopathy,A5039
374,A50.4,Late congenital neurosyphilis [juvenile neurosyphilis],A504
375,A50.40,"Late congenital neurosyphilis, unspecified",A5040
376,A50.41,Late congenital syphilitic meningitis,A5041
377,A50.42,Late congenital syphilitic encephalitis,A5042
378,A50.43,Late congenital syphilitic polyneuropathy,A5043
379,A50.44,Late congenital syphilitic optic nerve atrophy,A5044
380,A50.45,Juvenile general paresis,A5045
381,A50.49,Other late congenital neurosyphilis,A5049
382,A50.5,"Other late congenital syphilis, symptomatic",A505
383,A50.51,Clutton's joints,A5051
384,A50.52,Hutchinson's teeth,A5052
385,A50.53,Hutchinson's triad,A5053
386,A50.54,Late congenital cardiovascular syphilis,A5054
387,A50.55,Late congenital syphilitic arthropathy,A5055
388,A50.56,Late congenital syphilitic osteochondropathy,A5056
389,A50.57,Syphilitic saddle nose,A5057
390,A50.59,"Other late congenital syphilis, symptomatic",A5059
391,A50.6,"Late congenital syphilis, latent",A506
392,A50.7,"Late congenital syphilis, unspecified",A507
393,A50.9,"Congenital syphilis, unspecified",A509
394,A51,Early syphilis,A51
395,A51.0,Primary genital syphilis,A510
396,A51.1,Primary anal syphilis,A511
397,A51.2,Primary syphilis of other sites,A512
398,A51.3,Secondary syphilis of skin and mucous membranes,A513
399,A51.31,Condyloma latum,A5131
400,A51.32,Syphilitic alopecia,A5132
401,A51.39,Other secondary syphilis of skin,A5139
402,A51.4,Other secondary syphilis,A514
403,A51.41,Secondary syphilitic meningitis,A5141
404,A51.42,Secondary syphilitic female pelvic disease,A5142
405,A51.43,Secondary syphilitic oculopathy,A5143
406,A51.44,Secondary syphilitic nephritis,A5144
407,A51.45,Secondary syphilitic hepatitis,A5145
408,A51.46,Secondary syphilitic osteopathy,A5146
409,A51.49,Other secondary syphilitic conditions,A5149
410,A51.5,"Early syphilis, latent",A515
411,A51.9,"Early syphilis, unspecified",A519
412,A52,Late syphilis,A52
413,A52.0,Cardiovascular and cerebrovascular syphilis,A520
414,A52.00,"Cardiovascular syphilis, unspecified",A5200
415,A52.01,Syphilitic aneurysm of aorta,A5201
416,A52.02,Syphilitic aortitis,A5202
417,A52.03,Syphilitic endocarditis,A5203
418,A52.04,Syphilitic cerebral arteritis,A5204
419,A52.05,Other cerebrovascular syphilis,A5205
420,A52.06,Other syphilitic heart involvement,A5206
421,A52.09,Other cardiovascular syphilis,A5209
422,A52.1,Symptomatic neurosyphilis,A521
423,A52.10,"Symptomatic neurosyphilis, unspecified",A5210
424,A52.11,Tabes dorsalis,A5211
425,A52.12,Other cerebrospinal syphilis,A5212
426,A52.13,Late syphilitic meningitis,A5213
427,A52.14,Late syphilitic encephalitis,A5214
428,A52.15,Late syphilitic neuropathy,A5215
429,A52.16,Charcôt's arthropathy (tabetic),A5216
430,A52.17,General paresis,A5217
431,A52.19,Other symptomatic neurosyphilis,A5219
432,A52.2,Asymptomatic neurosyphilis,A522
433,A52.3,"Neurosyphilis, unspecified",A523
434,A52.7,Other symptomatic late syphilis,A527
435,A52.71,Late syphilitic oculopathy,A5271
436,A52.72,Syphilis of lung and bronchus,A5272
437,A52.73,Symptomatic late syphilis of other respiratory organs,A5273
438,A52.74,Syphilis of liver and other viscera,A5274
439,A52.75,Syphilis of kidney and ureter,A5275
440,A52.76,Other genitourinary symptomatic late syphilis,A5276
441,A52.77,Syphilis of bone and joint,A5277
442,A52.78,Syphilis of other musculoskeletal tissue,A5278
443,A52.79,Other symptomatic late syphilis,A5279
444,A52.8,"Late syphilis, latent",A528
445,A52.9,"Late syphilis, unspecified",A529
446,A53,Other and unspecified syphilis,A53
447,A53.0,"Latent syphilis, unspecified as early or late",A530
448,A53.9,"Syphilis, unspecified",A539
449,A54,Gonococcal infection,A54
450,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A540
451,A54.00,"Gonococcal infection of lower genitourinary tract, unspecified",A5400
452,A54.01,"Gonococcal cystitis and urethritis, unspecified",A5401
453,A54.02,"Gonococcal vulvovaginitis, unspecified",A5402
454,A54.03,"Gonococcal cervicitis, unspecified",A5403
455,A54.09,Other gonococcal infection of lower genitourinary tract,A5409
456,A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A541
457,A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infection,A542
458,A54.21,Gonococcal infection of kidney and ureter,A5421
459,A54.22,Gonococcal prostatitis,A5422
460,A54.23,Gonococcal infection of other male genital organs,A5423
461,A54.24,Gonococcal female pelvic inflammatory disease,A5424
462,A54.29,Other gonococcal genitourinary infections,A5429
463,A54.3,Gonococcal infection of eye,A543
464,A54.30,"Gonococcal infection of eye, unspecified",A5430
465,A54.31,Gonococcal conjunctivitis,A5431
466,A54.32,Gonococcal iridocyclitis,A5432
467,A54.33,Gonococcal keratitis,A5433
468,A54.39,Other gonococcal eye infection,A5439
469,A54.4,Gonococcal infection of musculoskeletal system,A544
470,A54.40,"Gonococcal infection of musculoskeletal system, unspecified",A5440
471,A54.41,Gonococcal spondylopathy,A5441
472,A54.42,Gonococcal arthritis,A5442
473,A54.43,Gonococcal osteomyelitis,A5443
474,A54.49,Gonococcal infection of other musculoskeletal tissue,A5449
475,A54.5,Gonococcal pharyngitis,A545
476,A54.6,Gonococcal infection of anus and rectum,A546
477,A54.8,Other gonococcal infections,A548
478,A54.81,Gonococcal meningitis,A5481
479,A54.82,Gonococcal brain abscess,A5482
480,A54.83,Gonococcal heart infection,A5483
481,A54.84,Gonococcal pneumonia,A5484
482,A54.85,Gonococcal peritonitis,A5485
483,A54.86,Gonococcal sepsis,A5486
484,A54.89,Other gonococcal infections,A5489
485,A54.9,"Gonococcal infection, unspecified",A549
486,A55,Chlamydial lymphogranuloma (venereum),A55
487,A56,Other sexually transmitted chlamydial diseases,A56
488,A56.0,Chlamydial infection of lower genitourinary tract,A560
489,A56.00,"Chlamydial infection of lower genitourinary tract, unspecified",A5600
490,A56.01,Chlamydial cystitis and urethritis,A5601
491,A56.02,Chlamydial vulvovaginitis,A5602
492,A56.09,Other chlamydial infection of lower genitourinary tract,A5609
493,A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs,A561
494,A56.11,Chlamydial female pelvic inflammatory disease,A5611
495,A56.19,Other chlamydial genitourinary infection,A5619
496,A56.2,"Chlamydial infection of genitourinary tract, unspecified",A562
497,A56.3,Chlamydial infection of anus and rectum,A563
498,A56.4,Chlamydial infection of pharynx,A564
499,A56.8,Sexually transmitted chlamydial infection of other sites,A568
500,A57,Chancroid,A57
501,A58,Granuloma inguinale,A58
502,A59,Trichomoniasis,A59
503,A59.0,Urogenital trichomoniasis,A590
504,A59.00,"Urogenital trichomoniasis, unspecified",A5900
505,A59.01,Trichomonal vulvovaginitis,A5901
506,A59.02,Trichomonal prostatitis,A5902
507,A59.03,Trichomonal cystitis and urethritis,A5903
508,A59.09,Other urogenital trichomoniasis,A5909
509,A59.8,Trichomoniasis of other sites,A598
510,A59.9,"Trichomoniasis, unspecified",A599
511,A60,Anogenital herpesviral [herpes simplex] infections,A60
512,A60.0,Herpesviral infection of genitalia and urogenital tract,A600
513,A60.00,"Herpesviral infection of urogenital system, unspecified",A6000
514,A60.01,Herpesviral infection of penis,A6001
515,A60.02,Herpesviral infection of other male genital organs,A6002
516,A60.03,Herpesviral cervicitis,A6003
517,A60.04,Herpesviral vulvovaginitis,A6004
518,A60.09,Herpesviral infection of other urogenital tract,A6009
519,A60.1,Herpesviral infection of perianal skin and rectum,A601
520,A60.9,"Anogenital herpesviral infection, unspecified",A609
521,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",A63
522,A63.0,Anogenital (venereal) warts,A630
523,A63.8,Other specified predominantly sexually transmitted diseases,A638
524,A64,Unspecified sexually transmitted disease,A64
525,A65,Nonvenereal syphilis,A65
526,A66,Yaws,A66
527,A66.0,Initial lesions of yaws,A660
528,A66.1,Multiple papillomata and wet crab yaws,A661
529,A66.2,Other early skin lesions of yaws,A662
530,A66.3,Hyperkeratosis of yaws,A663
531,A66.4,Gummata and ulcers of yaws,A664
532,A66.5,Gangosa,A665
533,A66.6,Bone and joint lesions of yaws,A666
534,A66.7,Other manifestations of yaws,A667
535,A66.8,Latent yaws,A668
536,A66.9,"Yaws, unspecified",A669
537,A67,Pinta [carate],A67
538,A67.0,Primary lesions of pinta,A670
539,A67.1,Intermediate lesions of pinta,A671
540,A67.2,Late lesions of pinta,A672
541,A67.3,Mixed lesions of pinta,A673
542,A67.9,"Pinta, unspecified",A679
543,A68,Relapsing fevers,A68
544,A68.0,Louse-borne relapsing fever,A680
545,A68.1,Tick-borne relapsing fever,A681
546,A68.9,"Relapsing fever, unspecified",A689
547,A69,Other spirochetal infections,A69
548,A69.0,Necrotizing ulcerative stomatitis,A690
549,A69.1,Other Vincent's infections,A691
550,A69.2,Lyme disease,A692
551,A69.20,"Lyme disease, unspecified",A6920
552,A69.21,Meningitis due to Lyme disease,A6921
553,A69.22,Other neurologic disorders in Lyme disease,A6922
554,A69.23,Arthritis due to Lyme disease,A6923
555,A69.29,Other conditions associated with Lyme disease,A6929
556,A69.8,Other specified spirochetal infections,A698
557,A69.9,"Spirochetal infection, unspecified",A699
558,A70,Chlamydia psittaci infections,A70
559,A71,Trachoma,A71
560,A71.0,Initial stage of trachoma,A710
561,A71.1,Active stage of trachoma,A711
562,A71.9,"Trachoma, unspecified",A719
563,A74,Other diseases caused by chlamydiae,A74
564,A74.0,Chlamydial conjunctivitis,A740
565,A74.8,Other chlamydial diseases,A748
566,A74.81,Chlamydial peritonitis,A7481
567,A74.89,Other chlamydial diseases,A7489
568,A74.9,"Chlamydial infection, unspecified",A749
569,A75,Typhus fever,A75
570,A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,A750
571,A75.1,Recrudescent typhus [Brill's disease],A751
572,A75.2,Typhus fever due to Rickettsia typhi,A752
